Date,Month,Year,month_id,,,
Jan-80,1,1980,1,,,
Feb-80,2,1980,2,,,
Mar-80,3,1980,3,,,
Apr-80,4,1980,4,,,
May-80,5,1980,5,,,
Jun-80,6,1980,6,,,
Jul-80,7,1980,7,,,
Aug-80,8,1980,8,,,
Sep-80,9,1980,9,,,
Oct-80,10,1980,10,,,
Nov-80,11,1980,11,,,
Dec-80,12,1980,12,,,
Jan-81,1,1981,13,,,
Feb-81,2,1981,14,,,
Mar-81,3,1981,15,,,
Apr-81,4,1981,16,,,
May-81,5,1981,17,,,
Jun-81,6,1981,18,,,
Jul-81,7,1981,19,,,
Aug-81,8,1981,20,,,
Sep-81,9,1981,21,,,
Oct-81,10,1981,22,,,
Nov-81,11,1981,23,,,
Dec-81,12,1981,24,,,
Jan-82,1,1982,25,,,
Feb-82,2,1982,26,,,
Mar-82,3,1982,27,,,
Apr-82,4,1982,28,,,
May-82,5,1982,29,,,
Jun-82,6,1982,30,,,
Jul-82,7,1982,31,,,
Aug-82,8,1982,32,,,
Sep-82,9,1982,33,,,
Oct-82,10,1982,34,,,
Nov-82,11,1982,35,,,
Dec-82,12,1982,36,,,
Jan-83,1,1983,37,,,
Feb-83,2,1983,38,,,
Mar-83,3,1983,39,,,
Apr-83,4,1983,40,,,
May-83,5,1983,41,,,
Jun-83,6,1983,42,,,
Jul-83,7,1983,43,,,
Aug-83,8,1983,44,,,
Sep-83,9,1983,45,,,
Oct-83,10,1983,46,,,
Nov-83,11,1983,47,,,
Dec-83,12,1983,48,,,
Jan-84,1,1984,49,,,
Feb-84,2,1984,50,,,
Mar-84,3,1984,51,,,
Apr-84,4,1984,52,,,
May-84,5,1984,53,,,
Jun-84,6,1984,54,,,
Jul-84,7,1984,55,,,
Aug-84,8,1984,56,,,
Sep-84,9,1984,57,,,
Oct-84,10,1984,58,,,
Nov-84,11,1984,59,,,
Dec-84,12,1984,60,,,
Jan-85,1,1985,61,,,
Feb-85,2,1985,62,,,
Mar-85,3,1985,63,,,
Apr-85,4,1985,64,,,
May-85,5,1985,65,,,
Jun-85,6,1985,66,,,
Jul-85,7,1985,67,,,
Aug-85,8,1985,68,,,
Sep-85,9,1985,69,,,
Oct-85,10,1985,70,,,
Nov-85,11,1985,71,,,
Dec-85,12,1985,72,,,
Jan-86,1,1986,73,,,
Feb-86,2,1986,74,,,
Mar-86,3,1986,75,,,
Apr-86,4,1986,76,,,
May-86,5,1986,77,,,
Jun-86,6,1986,78,,,
Jul-86,7,1986,79,,,
Aug-86,8,1986,80,,,
Sep-86,9,1986,81,,,
Oct-86,10,1986,82,,,
Nov-86,11,1986,83,,,
Dec-86,12,1986,84,,,
Jan-87,1,1987,85,,,
Feb-87,2,1987,86,,,
Mar-87,3,1987,87,,,
Apr-87,4,1987,88,,,
May-87,5,1987,89,,,
Jun-87,6,1987,90,,,
Jul-87,7,1987,91,,,
Aug-87,8,1987,92,,,
Sep-87,9,1987,93,,,
Oct-87,10,1987,94,,,
Nov-87,11,1987,95,,,
Dec-87,12,1987,96,,,
Jan-88,1,1988,97,,,
Feb-88,2,1988,98,,,
Mar-88,3,1988,99,,,
Apr-88,4,1988,100,,,
May-88,5,1988,101,,,
Jun-88,6,1988,102,,,
Jul-88,7,1988,103,,,
Aug-88,8,1988,104,,,
Sep-88,9,1988,105,,,
Oct-88,10,1988,106,,,
Nov-88,11,1988,107,,,
Dec-88,12,1988,108,,,
Jan-89,1,1989,109,,,
Feb-89,2,1989,110,,,
Mar-89,3,1989,111,,,
Apr-89,4,1989,112,,,
May-89,5,1989,113,,,
Jun-89,6,1989,114,,,
Jul-89,7,1989,115,,,
Aug-89,8,1989,116,,,
Sep-89,9,1989,117,,,
Oct-89,10,1989,118,,,
Nov-89,11,1989,119,,,
Dec-89,12,1989,120,,,
Jan-90,1,1990,121,,,
Feb-90,2,1990,122,,,
Mar-90,3,1990,123,,,
Apr-90,4,1990,124,,,
May-90,5,1990,125,,,
Jun-90,6,1990,126,,,
Jul-90,7,1990,127,,,
Aug-90,8,1990,128,,,
Sep-90,9,1990,129,,,
Oct-90,10,1990,130,,,
Nov-90,11,1990,131,,,
Dec-90,12,1990,132,,,
Jan-91,1,1991,133,,,
Feb-91,2,1991,134,,,
Mar-91,3,1991,135,,,
Apr-91,4,1991,136,,,
May-91,5,1991,137,,,
Jun-91,6,1991,138,,,
Jul-91,7,1991,139,,,
Aug-91,8,1991,140,,,
Sep-91,9,1991,141,,,
Oct-91,10,1991,142,,,
Nov-91,11,1991,143,,,
Dec-91,12,1991,144,,,
Jan-92,1,1992,145,,,
Feb-92,2,1992,146,,,
Mar-92,3,1992,147,,,
Apr-92,4,1992,148,,,
May-92,5,1992,149,,,
Jun-92,6,1992,150,,,
Jul-92,7,1992,151,,,
Aug-92,8,1992,152,,,
Sep-92,9,1992,153,,,
Oct-92,10,1992,154,,,
Nov-92,11,1992,155,,,
Dec-92,12,1992,156,,,
Jan-93,1,1993,157,,,
Feb-93,2,1993,158,,,
Mar-93,3,1993,159,,,
Apr-93,4,1993,160,,,
May-93,5,1993,161,,,
Jun-93,6,1993,162,,,
Jul-93,7,1993,163,,,
Aug-93,8,1993,164,,,
Sep-93,9,1993,165,,,
Oct-93,10,1993,166,,,
Nov-93,11,1993,167,,,
Dec-93,12,1993,168,,,
Jan-94,1,1994,169,,,
Feb-94,2,1994,170,,,
Mar-94,3,1994,171,,,
Apr-94,4,1994,172,,,
May-94,5,1994,173,,,
Jun-94,6,1994,174,,,
Jul-94,7,1994,175,,,
Aug-94,8,1994,176,,,
Sep-94,9,1994,177,,,
Oct-94,10,1994,178,,,
Nov-94,11,1994,179,,,
Dec-94,12,1994,180,,,
Jan-95,1,1995,181,,,
Feb-95,2,1995,182,,,
Mar-95,3,1995,183,,,
Apr-95,4,1995,184,,,
May-95,5,1995,185,,,
Jun-95,6,1995,186,,,
Jul-95,7,1995,187,,,
Aug-95,8,1995,188,,,
Sep-95,9,1995,189,,,
Oct-95,10,1995,190,,,
Nov-95,11,1995,191,,,
Dec-95,12,1995,192,,,
Jan-96,1,1996,193,,,
Feb-96,2,1996,194,,,
Mar-96,3,1996,195,,,
Apr-96,4,1996,196,,,
May-96,5,1996,197,,,
Jun-96,6,1996,198,,,
Jul-96,7,1996,199,,,
Aug-96,8,1996,200,,,
Sep-96,9,1996,201,,,
Oct-96,10,1996,202,,,
Nov-96,11,1996,203,,,
Dec-96,12,1996,204,,,
Jan-97,1,1997,205,,,
Feb-97,2,1997,206,,,
Mar-97,3,1997,207,,,
Apr-97,4,1997,208,,,
May-97,5,1997,209,,,
Jun-97,6,1997,210,,,
Jul-97,7,1997,211,,,
Aug-97,8,1997,212,,,
Sep-97,9,1997,213,,,
Oct-97,10,1997,214,,,
Nov-97,11,1997,215,,,
Dec-97,12,1997,216,,,
Jan-98,1,1998,217,,,
Feb-98,2,1998,218,,,
Mar-98,3,1998,219,,,
Apr-98,4,1998,220,,,
May-98,5,1998,221,,,
Jun-98,6,1998,222,,,
Jul-98,7,1998,223,,,
Aug-98,8,1998,224,,,
Sep-98,9,1998,225,,,
Oct-98,10,1998,226,,,
Nov-98,11,1998,227,,,
Dec-98,12,1998,228,,,
Jan-99,1,1999,229,,,
Feb-99,2,1999,230,,,
Mar-99,3,1999,231,,,
Apr-99,4,1999,232,,,
May-99,5,1999,233,,,
Jun-99,6,1999,234,,,
Jul-99,7,1999,235,,,
Aug-99,8,1999,236,,,
Sep-99,9,1999,237,,,
Oct-99,10,1999,238,,,
Nov-99,11,1999,239,,,
Dec-99,12,1999,240,,,
Jan-00,1,2000,241,,,
Feb-00,2,2000,242,,,
Mar-00,3,2000,243,,,
Apr-00,4,2000,244,,,
May-00,5,2000,245,,,
Jun-00,6,2000,246,,,
Jul-00,7,2000,247,,,
Aug-00,8,2000,248,,,
Sep-00,9,2000,249,,,
Oct-00,10,2000,250,,,
Nov-00,11,2000,251,,,
Dec-00,12,2000,252,,,
Jan-01,1,2001,253,,,
Feb-01,2,2001,254,,,
Mar-01,3,2001,255,,,
Apr-01,4,2001,256,,,
May-01,5,2001,257,,,
Jun-01,6,2001,258,,,
Jul-01,7,2001,259,,,
Aug-01,8,2001,260,,,
Sep-01,9,2001,261,,,
Oct-01,10,2001,262,,,
Nov-01,11,2001,263,,,
Dec-01,12,2001,264,,,
Jan-02,1,2002,265,,,
Feb-02,2,2002,266,,,
Mar-02,3,2002,267,,,
Apr-02,4,2002,268,,,
May-02,5,2002,269,,,
Jun-02,6,2002,270,,,
Jul-02,7,2002,271,,,
Aug-02,8,2002,272,,,
Sep-02,9,2002,273,,,
Oct-02,10,2002,274,,,
Nov-02,11,2002,275,,,
Dec-02,12,2002,276,,,
Jan-03,1,2003,277,,,
Feb-03,2,2003,278,,,
Mar-03,3,2003,279,,,
Apr-03,4,2003,280,,,
May-03,5,2003,281,,,
Jun-03,6,2003,282,,,
Jul-03,7,2003,283,,,
Aug-03,8,2003,284,,,
Sep-03,9,2003,285,,,
Oct-03,10,2003,286,,,
Nov-03,11,2003,287,,,
Dec-03,12,2003,288,,,
Jan-04,1,2004,289,,,
Feb-04,2,2004,290,,,
Mar-04,3,2004,291,,,
Apr-04,4,2004,292,,,
May-04,5,2004,293,,,
Jun-04,6,2004,294,,,
Jul-04,7,2004,295,,,
Aug-04,8,2004,296,,,
Sep-04,9,2004,297,,,
Oct-04,10,2004,298,,,
Nov-04,11,2004,299,,,
Dec-04,12,2004,300,,,
Jan-05,1,2005,301,,,
Feb-05,2,2005,302,,,
Mar-05,3,2005,303,,,
Apr-05,4,2005,304,,,
May-05,5,2005,305,,,
Jun-05,6,2005,306,,,
Jul-05,7,2005,307,,,
Aug-05,8,2005,308,,,
Sep-05,9,2005,309,,,
Oct-05,10,2005,310,,,
Nov-05,11,2005,311,,,
Dec-05,12,2005,312,,,
Jan-06,1,2006,313,,,
Feb-06,2,2006,314,,,
Mar-06,3,2006,315,,,
Apr-06,4,2006,316,,,
May-06,5,2006,317,,,
Jun-06,6,2006,318,,,
Jul-06,7,2006,319,,,
Aug-06,8,2006,320,,,
Sep-06,9,2006,321,,,
Oct-06,10,2006,322,,,
Nov-06,11,2006,323,,,
Dec-06,12,2006,324,,,
Jan-07,1,2007,325,,,
Feb-07,2,2007,326,,,
Mar-07,3,2007,327,,,
Apr-07,4,2007,328,,,
May-07,5,2007,329,,,
Jun-07,6,2007,330,,,
Jul-07,7,2007,331,,,
Aug-07,8,2007,332,,,
Sep-07,9,2007,333,,,
Oct-07,10,2007,334,,,
Nov-07,11,2007,335,,,
Dec-07,12,2007,336,,,
Jan-08,1,2008,337,,,
Feb-08,2,2008,338,,,
Mar-08,3,2008,339,,,
Apr-08,4,2008,340,,,
May-08,5,2008,341,,,
Jun-08,6,2008,342,,,
Jul-08,7,2008,343,,,
Aug-08,8,2008,344,,,
Sep-08,9,2008,345,,,
Oct-08,10,2008,346,,,
Nov-08,11,2008,347,,,
Dec-08,12,2008,348,,,
Jan-09,1,2009,349,,,
Feb-09,2,2009,350,,,
Mar-09,3,2009,351,,,
Apr-09,4,2009,352,,,
May-09,5,2009,353,,,
Jun-09,6,2009,354,,,
Jul-09,7,2009,355,,,
Aug-09,8,2009,356,,,
Sep-09,9,2009,357,,,
Oct-09,10,2009,358,,,
Nov-09,11,2009,359,,,
Dec-09,12,2009,360,,,
Jan-10,1,2010,361,,,
Feb-10,2,2010,362,,,
Mar-10,3,2010,363,,,
Apr-10,4,2010,364,,,
May-10,5,2010,365,,,
Jun-10,6,2010,366,,,
Jul-10,7,2010,367,,,
Aug-10,8,2010,368,,,
Sep-10,9,2010,369,,,
Oct-10,10,2010,370,,,
Nov-10,11,2010,371,,,
Dec-10,12,2010,372,,,
Jan-11,1,2011,373,,,
Feb-11,2,2011,374,,,
Mar-11,3,2011,375,,,
Apr-11,4,2011,376,,,
May-11,5,2011,377,,,
Jun-11,6,2011,378,,,
Jul-11,7,2011,379,,,
Aug-11,8,2011,380,,,
Sep-11,9,2011,381,,,
Oct-11,10,2011,382,,,
Nov-11,11,2011,383,,,
Dec-11,12,2011,384,,,
Jan-12,1,2012,385,,,
Feb-12,2,2012,386,,,
Mar-12,3,2012,387,,,
Apr-12,4,2012,388,,,
May-12,5,2012,389,,,
Jun-12,6,2012,390,,,
Jul-12,7,2012,391,,,
Aug-12,8,2012,392,,,
Sep-12,9,2012,393,,,
Oct-12,10,2012,394,,,
Nov-12,11,2012,395,,,
Dec-12,12,2012,396,,,
Jan-13,1,2013,397,,,
Feb-13,2,2013,398,,,
Mar-13,3,2013,399,,,
Apr-13,4,2013,400,,,
May-13,5,2013,401,,,
Jun-13,6,2013,402,,,
Jul-13,7,2013,403,,,
Aug-13,8,2013,404,,,
Sep-13,9,2013,405,,,
Oct-13,10,2013,406,,,
Nov-13,11,2013,407,,,
Dec-13,12,2013,408,,,
Jan-14,1,2014,409,,,
Feb-14,2,2014,410,,,
Mar-14,3,2014,411,,,
Apr-14,4,2014,412,,,
May-14,5,2014,413,,,
Jun-14,6,2014,414,,,
Jul-14,7,2014,415,,,
Aug-14,8,2014,416,,,
Sep-14,9,2014,417,,,
Oct-14,10,2014,418,,,
Nov-14,11,2014,419,,,
Dec-14,12,2014,420,,,
Jan-15,1,2015,421,,,
Feb-15,2,2015,422,,,
Mar-15,3,2015,423,,,
Apr-15,4,2015,424,,,
May-15,5,2015,425,,,
Jun-15,6,2015,426,,,
Jul-15,7,2015,427,,,
Aug-15,8,2015,428,,,
Sep-15,9,2015,429,,,
Oct-15,10,2015,430,,,
Nov-15,11,2015,431,,,
Dec-15,12,2015,432,,,
Jan-16,1,2016,433,,,
Feb-16,2,2016,434,,,
Mar-16,3,2016,435,,,
Apr-16,4,2016,436,,,
May-16,5,2016,437,,,
Jun-16,6,2016,438,,,
Jul-16,7,2016,439,,,
Aug-16,8,2016,440,,,
Sep-16,9,2016,441,,,
Oct-16,10,2016,442,,,
Nov-16,11,2016,443,,,
Dec-16,12,2016,444,,,
Jan-17,1,2017,445,,,
Feb-17,2,2017,446,,,
Mar-17,3,2017,447,,,
Apr-17,4,2017,448,,,
May-17,5,2017,449,,,
Jun-17,6,2017,450,,,
Jul-17,7,2017,451,,,
Aug-17,8,2017,452,,,
Sep-17,9,2017,453,,,
Oct-17,10,2017,454,,,
Nov-17,11,2017,455,,,
Dec-17,12,2017,456,,,
Jan-18,1,2018,457,,,
Feb-18,2,2018,458,,,
Mar-18,3,2018,459,,,
Apr-18,4,2018,460,,,
May-18,5,2018,461,,,
Jun-18,6,2018,462,,,
Jul-18,7,2018,463,,,
Aug-18,8,2018,464,,,
Sep-18,9,2018,465,,,
Oct-18,10,2018,466,,,
Nov-18,11,2018,467,,,
Dec-18,12,2018,468,,,
Jan-19,1,2019,469,,,
Feb-19,2,2019,470,,,
Mar-19,3,2019,471,,,
Apr-19,4,2019,472,,,
May-19,5,2019,473,,,
Jun-19,6,2019,474,,,
Jul-19,7,2019,475,,,
Aug-19,8,2019,476,,,
Sep-19,9,2019,477,,,
Oct-19,10,2019,478,,,
Nov-19,11,2019,479,,,
Dec-19,12,2019,480,,,
Jan-20,1,2020,481,,,
Feb-20,2,2020,482,,,
Mar-20,3,2020,483,,,
Apr-20,4,2020,484,,,
May-20,5,2020,485,,,
Jun-20,6,2020,486,,,
Jul-20,7,2020,487,,,
Aug-20,8,2020,488,,,
Sep-20,9,2020,489,,,
Oct-20,10,2020,490,,,
Nov-20,11,2020,491,,,
Dec-20,12,2020,492,,,
Jan-21,1,2021,493,,,
Feb-21,2,2021,494,,,
Mar-21,3,2021,495,,,
Apr-21,4,2021,496,,,
May-21,5,2021,497,,,
Jun-21,6,2021,498,,,
Jul-21,7,2021,499,,,
Aug-21,8,2021,500,,,
Sep-21,9,2021,501,,,
Oct-21,10,2021,502,,,
Nov-21,11,2021,503,,,
Dec-21,12,2021,504,,,
Jan-22,1,2022,505,,,
Feb-22,2,2022,506,,,
Mar-22,3,2022,507,,,
Apr-22,4,2022,508,,,
May-22,5,2022,509,,,
Jun-22,6,2022,510,,,
Jul-22,7,2022,511,,,
Aug-22,8,2022,512,,,
Sep-22,9,2022,513,,,
Oct-22,10,2022,514,,,
Nov-22,11,2022,515,,,
Dec-22,12,2022,516,,,
Jan-23,1,2023,517,,,
Feb-23,2,2023,518,,,
Mar-23,3,2023,519,,,
Apr-23,4,2023,520,,,
May-23,5,2023,521,,,
Jun-23,6,2023,522,,,
Jul-23,7,2023,523,,,
Aug-23,8,2023,524,,,
Sep-23,9,2023,525,,,
Oct-23,10,2023,526,,,
Nov-23,11,2023,527,,,
Dec-23,12,2023,528,,,
Jan-24,1,2024,529,,,
Feb-24,2,2024,530,,,
Mar-24,3,2024,531,,,
Apr-24,4,2024,532,,,
May-24,5,2024,533,,,
Jun-24,6,2024,534,,,
Jul-24,7,2024,535,,,
Aug-24,8,2024,536,,,
Sep-24,9,2024,537,,,
Oct-24,10,2024,538,,,
Nov-24,11,2024,539,,,
Dec-24,12,2024,540,,,